City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
599,Wanning,CN,76.06,broken clouds,18.8003,110.3967,Paradise Hotel
604,Tevaitoa,PF,80.85,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
606,Ruwi,OM,85.69,clear sky,23.5996,58.5507,Al Falaj Hotel
607,Upata,VE,77.88,broken clouds,8.0086,-62.3989,Posada Villa Nela
608,Porto Velho,BR,77.05,light rain,-8.7619,-63.9039,Ecos Hotel Conforto
610,Wahiawa,US,77.32,overcast clouds,21.5028,-158.0236,The Inn At Schofield
611,Kalang,PH,80.89,overcast clouds,5.9197,121.3631,
612,Itarema,BR,77.92,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
617,Turan,VN,75.18,few clouds,16.0678,108.2208,Grand Mercure Danang
618,Merced,US,77.29,clear sky,37.1666,-120.7516,
621,West Bay,KY,83.07,scattered clouds,19.3667,-81.4167,Calypso Cove
622,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
623,Kilindoni,TZ,81.32,light rain,-7.9139,39.6668,Bustani B&B
625,Kimbe,PG,82.87,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
627,Morondava,MG,81.12,clear sky,-20.2833,44.2833,La Case Bambou
629,Bambanglipuro,ID,76.86,overcast clouds,-7.95,110.2833,Puri Brata
630,Karratha,AU,81.79,few clouds,-20.7377,116.8463,ibis Styles Karratha
633,Pangkalanbuun,ID,75.13,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
635,Puerto Madero,MX,88.0,clear sky,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
637,Samarai,PG,82.22,light rain,-10.6167,150.6667,Nuli Sapi
641,La Asuncion,VE,78.08,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
652,Abilene,US,86.77,clear sky,32.4487,-99.7331,La Quinta Inn by Wyndham Abilene
655,Pahrump,US,83.52,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
656,Bilma,NE,81.5,scattered clouds,18.6853,12.9164,Expeditions Ténére voyages
657,Dingle,PH,77.92,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
658,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
660,Srivardhan,IN,78.66,clear sky,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
