City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
297,Svetlogorsk,BY,52.6333,29.7333,33.89,97,92,10.27,light snow
298,Denpasar,ID,-8.65,115.2167,82.06,88,20,6.91,few clouds
299,Ust-Kuyga,RU,70.0167,135.6,11.71,89,74,5.26,broken clouds
300,Lompoc,US,34.6391,-120.4579,75.69,66,0,21.99,clear sky
301,Vanavara,RU,60.34,102.2797,35.44,80,88,11.07,overcast clouds
302,Pozo Colorado,PY,-23.4923,-58.7972,66.4,61,77,2.71,broken clouds
303,Salalah,OM,17.0151,54.0924,82.49,83,75,3.44,broken clouds
304,Takoradi,GH,4.8845,-1.7554,79.25,85,99,10.27,overcast clouds
305,Laguna,US,38.421,-121.4238,75.11,24,0,11.5,clear sky
306,Bayan,CN,46.0833,127.4,42.58,23,4,4.85,clear sky
307,Port Hawkesbury,CA,45.6169,-61.3485,39.9,83,56,5.99,broken clouds
308,Belfast,GB,54.5833,-5.9333,47.48,92,40,11.5,scattered clouds
309,Carauari,BR,-4.8828,-66.8958,75.38,96,98,3.29,overcast clouds
310,Oranjemund,NA,-28.55,16.4333,59.09,76,0,7.38,clear sky
311,Qixingtai,CN,30.4135,111.8874,52.59,85,100,4.27,overcast clouds
312,Touros,BR,-5.1989,-35.4608,79.88,79,65,7.76,broken clouds
313,Male,MV,4.1748,73.5089,83.77,72,97,11.65,overcast clouds
314,Cap Malheureux,MU,-19.9842,57.6142,75.47,91,30,3.0,scattered clouds
315,Saquena,PE,-4.6667,-73.5167,75.85,97,99,2.28,light rain
316,Parry Sound,CA,45.3501,-80.033,35.83,59,54,6.91,broken clouds
317,Moron,AR,-34.6534,-58.6198,66.0,82,100,7.27,overcast clouds
318,Whitehorse,CA,60.7161,-135.0538,32.02,50,100,4.61,overcast clouds
319,Lorengau,PG,-2.0226,147.2712,82.76,80,55,7.18,broken clouds
320,Micheweni,TZ,-4.9667,39.8333,79.72,85,94,10.87,light rain
321,Binga,ZW,-17.6203,27.3414,70.25,81,18,4.94,few clouds
322,Pangai,TO,-19.8,-174.35,82.44,74,100,10.89,overcast clouds
323,Gobabis,NA,-22.45,18.9667,65.98,64,69,7.4,broken clouds
324,At-Bashi,KG,41.1702,75.8106,46.47,45,45,5.46,scattered clouds
325,Roma,US,43.2128,-75.4557,43.83,47,0,14.0,clear sky
326,Ouidah,BJ,6.3631,2.0851,82.15,80,100,9.73,light rain
327,Muhos,FI,64.808,25.9931,33.58,97,98,1.7,overcast clouds
328,Yaan,NG,7.3833,8.5667,80.35,75,94,8.28,light rain
329,Ambon,ID,-3.6954,128.1814,82.0,75,67,4.5,broken clouds
